timestamp,volume,open,high,low,close
20250929 18:15:00 America/Denver,-1,55.6,55.8,55.45,55.45
20250929 18:15:15 America/Denver,-1,55.45,57.85,55.45,56.0
20250929 18:15:30 America/Denver,-1,56.0,56.15,55.9,56.15
20250929 18:15:45 America/Denver,-1,56.15,56.2,56.0,56.0
20250929 18:16:00 America/Denver,-1,56.0,56.0,54.55,55.7
20250929 18:16:15 America/Denver,-1,55.7,55.7,55.6,55.6
20250929 18:16:30 America/Denver,-1,55.6,55.7,55.6,55.65
20250929 18:16:45 America/Denver,-1,55.65,55.65,55.6,55.6
20250929 18:17:00 America/Denver,-1,55.6,56.4,55.5,55.9
20250929 18:17:15 America/Denver,-1,55.9,56.0,55.85,55.85
20250929 18:17:30 America/Denver,-1,55.85,56.45,55.85,56.35
20250929 18:17:45 America/Denver,-1,56.35,58.7,56.15,56.15
20250929 18:18:00 America/Denver,-1,56.15,56.3,55.95,56.3
20250929 18:18:15 America/Denver,-1,56.3,58.55,56.3,56.65
20250929 18:18:30 America/Denver,-1,56.65,56.65,56.65,56.65
20250929 18:18:45 America/Denver,-1,56.65,58.1,56.65,57.0
20250929 18:19:00 America/Denver,-1,57.0,57.0,56.7,56.7
20250929 18:19:15 America/Denver,-1,56.7,56.7,56.6,56.6
20250929 18:19:30 America/Denver,-1,56.6,56.6,56.6,56.6
20250929 18:19:45 America/Denver,-1,56.6,56.6,56.6,56.6
20250929 18:20:00 America/Denver,-1,56.6,56.75,56.05,56.7
20250929 18:20:15 America/Denver,-1,56.7,56.7,56.5,56.5
20250929 18:20:30 America/Denver,-1,56.5,57.65,56.5,56.65
20250929 18:20:45 America/Denver,-1,56.65,56.8,56.65,56.8
20250929 18:21:00 America/Denver,-1,56.8,56.8,56.8,56.8
20250929 18:21:15 America/Denver,-1,56.8,56.85,56.8,56.85
20250929 18:21:30 America/Denver,-1,56.85,56.85,56.8,56.8
20250929 18:21:45 America/Denver,-1,56.8,56.8,56.8,56.8
20250929 18:22:00 America/Denver,-1,56.8,56.8,56.5,56.5
20250929 18:22:15 America/Denver,-1,56.5,56.5,56.5,56.5
20250929 18:22:30 America/Denver,-1,56.5,56.55,56.5,56.55
20250929 18:22:45 America/Denver,-1,56.55,56.55,56.55,56.55
20250929 18:23:00 America/Denver,-1,56.55,56.55,56.55,56.55
20250929 18:23:15 America/Denver,-1,56.55,56.55,56.55,56.55
20250929 18:23:30 America/Denver,-1,56.55,56.55,56.55,56.55
20250929 18:23:45 America/Denver,-1,56.55,56.6,56.55,56.6
20250929 18:24:00 America/Denver,-1,56.6,56.6,56.6,56.6
20250929 18:24:15 America/Denver,-1,56.6,56.6,56.45,56.45
20250929 18:24:30 America/Denver,-1,56.45,56.45,56.2,56.2
20250929 18:24:45 America/Denver,-1,56.2,56.2,55.5,55.5
20250929 18:25:00 America/Denver,-1,55.5,55.9,55.5,55.9
20250929 18:25:15 America/Denver,-1,55.9,55.95,55.8,55.95
20250929 18:25:30 America/Denver,-1,55.95,56.35,55.95,56.35
20250929 18:25:45 America/Denver,-1,56.35,56.35,56.0,56.0
20250929 18:26:00 America/Denver,-1,56.0,56.0,55.95,55.95
20250929 18:26:15 America/Denver,-1,55.95,55.95,55.95,55.95
20250929 18:26:30 America/Denver,-1,55.95,56.2,55.95,56.2
20250929 18:26:45 America/Denver,-1,56.2,56.2,56.2,56.2
20250929 18:27:00 America/Denver,-1,56.2,56.2,56.0,56.0
20250929 18:27:15 America/Denver,-1,56.0,56.2,56.0,56.2
20250929 18:27:30 America/Denver,-1,56.2,56.4,56.05,56.1
20250929 18:27:45 America/Denver,-1,56.1,56.1,56.0,56.05
20250929 18:28:00 America/Denver,-1,56.05,56.05,56.05,56.05
20250929 18:28:15 America/Denver,-1,56.05,56.05,56.05,56.05
20250929 18:28:30 America/Denver,-1,56.05,56.05,56.05,56.05
20250929 18:28:45 America/Denver,-1,56.05,56.05,56.05,56.05
20250929 18:29:00 America/Denver,-1,56.05,56.05,56.05,56.05
20250929 18:29:15 America/Denver,-1,56.05,56.05,56.05,56.05
20250929 18:29:30 America/Denver,-1,56.05,56.05,56.05,56.05
20250929 18:29:45 America/Denver,-1,56.05,56.1,56.05,56.1
20250929 18:30:00 America/Denver,-1,56.1,56.1,55.75,55.75
20250929 18:30:15 America/Denver,-1,55.75,55.75,55.75,55.75
20250929 18:30:30 America/Denver,-1,55.75,55.8,55.75,55.8
20250929 18:30:45 America/Denver,-1,55.8,55.8,55.55,55.7
20250929 18:31:00 America/Denver,-1,55.7,55.95,55.6,55.95
20250929 18:31:15 America/Denver,-1,55.95,56.3,55.95,56.3
20250929 18:31:30 America/Denver,-1,56.3,56.5,56.3,56.45
20250929 18:31:45 America/Denver,-1,56.45,56.65,56.45,56.65
20250929 18:32:00 America/Denver,-1,56.65,56.65,56.5,56.55
20250929 18:32:15 America/Denver,-1,56.55,56.55,56.55,56.55
20250929 18:32:30 America/Denver,-1,56.55,56.55,56.3,56.3
20250929 18:32:45 America/Denver,-1,56.3,56.45,56.3,56.45
20250929 18:33:00 America/Denver,-1,56.45,56.45,56.45,56.45
20250929 18:33:15 America/Denver,-1,56.45,56.45,56.45,56.45
20250929 18:33:30 America/Denver,-1,56.45,56.45,56.45,56.45
20250929 18:33:45 America/Denver,-1,56.45,56.45,56.45,56.45
20250929 18:34:00 America/Denver,-1,56.45,56.6,56.45,56.6
20250929 18:34:15 America/Denver,-1,56.6,56.8,56.6,56.8
20250929 18:34:30 America/Denver,-1,56.8,57.0,56.8,57.0
20250929 18:34:45 America/Denver,-1,57.0,57.1,57.0,57.1
20250929 18:35:00 America/Denver,-1,57.1,57.1,56.8,56.8
20250929 18:35:15 America/Denver,-1,56.8,56.8,56.8,56.8
20250929 18:35:30 America/Denver,-1,56.8,56.8,56.8,56.8
20250929 18:35:45 America/Denver,-1,56.8,56.8,56.8,56.8
20250929 18:36:00 America/Denver,-1,56.8,56.8,56.8,56.8
20250929 18:36:15 America/Denver,-1,56.8,57.0,56.8,57.0
20250929 18:36:30 America/Denver,-1,57.0,57.1,57.0,57.1
20250929 18:36:45 America/Denver,-1,57.1,57.1,57.1,57.1
20250929 18:37:00 America/Denver,-1,57.1,57.5,57.1,57.5
20250929 18:37:15 America/Denver,-1,57.5,57.5,57.5,57.5
20250929 18:37:30 America/Denver,-1,57.5,57.5,57.5,57.5
20250929 18:37:45 America/Denver,-1,57.5,57.5,57.5,57.5
20250929 18:38:00 America/Denver,-1,57.5,57.85,57.5,57.85
20250929 18:38:15 America/Denver,-1,57.85,57.85,57.85,57.85
20250929 18:38:30 America/Denver,-1,57.85,57.85,57.85,57.85
20250929 18:38:45 America/Denver,-1,57.85,57.85,57.8,57.8
20250929 18:39:00 America/Denver,-1,57.8,57.8,57.65,57.65
20250929 18:39:15 America/Denver,-1,57.65,57.65,56.1,57.2
20250929 18:39:30 America/Denver,-1,57.2,57.35,57.2,57.35
20250929 18:39:45 America/Denver,-1,57.35,57.65,57.35,57.65
20250929 18:40:00 America/Denver,-1,57.65,57.85,57.65,57.85
20250929 18:40:15 America/Denver,-1,57.85,57.95,57.85,57.95
20250929 18:40:30 America/Denver,-1,57.95,57.95,57.95,57.95
20250929 18:40:45 America/Denver,-1,57.95,58.7,57.95,58.3
20250929 18:41:00 America/Denver,-1,58.3,58.3,57.05,57.9
20250929 18:41:15 America/Denver,-1,57.9,57.9,57.9,57.9
20250929 18:41:30 America/Denver,-1,57.9,57.9,57.85,57.85
20250929 18:41:45 America/Denver,-1,57.85,57.85,57.25,57.45
20250929 18:42:00 America/Denver,-1,57.45,57.45,57.45,57.45
20250929 18:42:15 America/Denver,-1,57.45,57.45,57.45,57.45
20250929 18:42:30 America/Denver,-1,57.45,57.45,57.45,57.45
