DateTime,Signal,Action,Contract,Status,Price,Details
2025-11-17 20:53:25,SHORT,Signal,N/A,Received,N/A,Strategy changed: FLAT → SHORT
2025-11-17 20:53:51,SHORT (Put),BUY,ES 6655.0 P 20251118,Preparing,N/A,Entry: SHORT (Put) at 30Δ
2025-11-17 20:53:51,SHORT (Put),BUY,ES 6655.0 P 20251118,Placing Order,16.25,Qty: 6 @ $16.25
2025-11-17 20:54:00,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 20:54:00,EXIT,SELL,ES 6655.0 P 20251118,Closing,16.25,Exit PUT: 6.0 @ $16.25
2025-11-17 20:54:00,LONG (Call),BUY,ES 6730.0 C 20251118,Preparing,N/A,Entry: LONG (Call) at 30Δ
2025-11-17 20:54:00,LONG (Call),BUY,ES 6730.0 C 20251118,Placing Order,13.50,Qty: 8 @ $13.50
2025-11-17 20:56:45,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-17 20:56:45,EXIT,SELL,ES 6730.0 C 20251118,Closing,12.25,Exit CALL: 8.0 @ $12.25
2025-11-17 20:56:45,SHORT (Put),BUY,ES 6650.0 P 20251118,Preparing,N/A,Entry: SHORT (Put) at 30Δ
2025-11-17 20:56:45,SHORT (Put),BUY,ES 6650.0 P 20251118,Placing Order,15.25,Qty: 14 @ $15.25
2025-11-17 20:58:50,SHORT,Signal,N/A,Received,N/A,Strategy changed: FLAT → SHORT
2025-11-17 21:10:15,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 21:30:00,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-17 21:39:30,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 21:45:15,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-17 21:55:00,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 22:01:15,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-17 22:25:30,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 23:02:15,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-17 23:05:15,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 23:18:15,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-17 23:20:00,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 23:26:15,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-17 23:44:30,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-17 23:52:30,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-18 00:01:30,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-18 00:04:30,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-18 00:12:45,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-18 00:20:45,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-18 00:40:45,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
2025-11-18 00:58:00,SHORT,Signal,N/A,Received,N/A,Strategy changed: LONG → SHORT
2025-11-18 01:08:45,LONG,Signal,N/A,Received,N/A,Strategy changed: SHORT → LONG
